frame_number,person_center_x,person_center_y,person_velocity,person_intersection,vehicle_center_x,vehicle_center_y,vehicle_velocity,vehicle_intersection
2748.0,395.82352,670.41174,11.479376,70,972.23865,770.01135,19.908163,12407
2749.0,403.98306,690.9661,22.11472,111,950.23254,771.1395,22.035004,13280
2750.0,400.21277,681.7659,9.942772,75,928.61536,757.022,25.818756,14409
2751.0,401.1346,680.1923,1.8237436,5,901.05,758.76,27.620108,15608
2752.0,409.82144,661.9286,20.224365,79,942.6774,770.9677,43.380547,16661
2757.0,423.1,695.1,58.31948,107,872.17645,775.4706,19.647015,20047
2758.0,416.9434,699.90564,7.8101425,107,850.7395,774.958,21.443077,20530
2759.0,429.4,690.06665,15.873648,107,850.3269,783.11536,8.167776,21166
2760.0,425.41306,700.76086,11.413233,113,841.8205,780.7436,8.83087,21864
2761.0,423.16666,698.25,3.3690872,108,820.4016,782.04095,21.45814,22392
2762.0,428.71155,680.53845,18.559223,121,820.88184,786.1091,4.0963616,23014
2763.0,432.5625,691.21875,11.353352,113,808.075,787.825,12.921269,23779
2764.0,434.82693,688.5,3.5382576,133,802.74194,787.2339,5.3657293,24244
2765.0,446.07144,681.0,13.516247,126,803.7321,784.4196,2.9833806,24816
2766.0,446.33334,675.6667,5.33974,147,793.3158,791.8684,12.805633,25479
2767.0,444.42856,675.8571,1.9142805,147,775.4483,799.7586,19.53209,25912
2768.0,443.86047,683.72095,7.884323,126,749.2,795.45,26.599564,26396
2769.0,445.46667,678.26666,5.6858687,120,742.41986,788.6794,9.581852,26752
2770.0,446.44736,676.1053,2.373455,132,730.13043,791.56525,12.623719,26865
2771.0,445.45456,683.63635,7.596224,141,738.225,804.825,15.535218,27027
2772.0,456.675,671.625,16.436867,122,699.4545,806.3409,38.80007,27107
2773.0,453.5,687.7,16.38556,135,687.1475,801.1475,13.357897,27069
2774.0,456.13953,683.93024,4.6019893,91,689.13104,802.63446,2.4789796,26815
2775.0,452.21738,684.7826,4.0136976,46,654.3214,813.0,36.32017,26858
2806.0,488.91428,687.7714,0,14,1084.3334,745.2308,11.03375,7681
2807.0,489.23077,679.38464,8.39275,16,1052.5352,749.4507,32.077007,8355
2808.0,488.91177,695.3823,16.00086,40,1080.341,757.0909,28.836338,8456
2809.0,487.0,692.1539,3.7520392,8,1066.3141,751.6116,15.059067,9675
2810.0,486.0,697.8333,5.766808,8,1042.2375,756.525,24.572784,10582
2811.0,486.85715,690.9429,6.9435506,8,1044.9403,752.28357,5.029398,10901
2812.0,494.57144,686.25,9.029584,14,1032.0221,752.0294,12.920712,12127
2946.0,641.5472,700.7547,7.7482557,60,1203.1188,756.0297,16.565805,1
2947.0,640.46936,708.9796,8.295235,42,1176.5106,752.617,26.826117,60
2948.0,640.47455,695.18646,13.793153,42,1193.8022,757.1539,17.876898,105
2949.0,636.38184,700.8,6.947083,51,1174.8334,745.63336,22.193247,301
2950.0,633.75,691.9286,9.253555,42,1186.9224,754.4854,14.983407,366
